Decathlon_reviews
Door mesh van binnen is het prettig dragen en de jas is goed waterdicht zelf na een halve dag in stevige regen
👌🏼
Neemt snel vuil op
Fijne jas voor regen en wind
"Mit einer Körpergröße von 1,68 m und 60 kg habe ich bei Größe ""S"" meine Hand kaum durch die Armöffnung bekommen. Bei Größe ""XS"" habe ich mit meiner Hand gar nicht durch die Öffnung gepasst.
""S"" wäre vom Umfang locker gewesen, für sportliche Aktivitäten o.k. Alelrdings kann es nicht sein, dass man sich in eine Jacke reinquälen muss.
In Größe ""XS"" kam selbst meine Tochter mit knapp 1,40 m nur schwer mit der Hand durch die Armöffnung.
Wirklich schade! Ich habe das Vorgängermodell glücklicherweise noch bekommen. Da ist es kein Problem. Hier ist die Dichtigkeit bei der Armöffnung anders und für mich deutlich besser gelöst. Mit dieser Jacke bin ich glücklich"
"Bon rapport qualité prix, étanchéité qui tient bien en dehors des poches (précisé sur le site). En revanche le produit ne correspond pas aux spécificités techniques présentées en ligne :
- Les poches ne sont pas aimantées contrairement à ce que présente le laius du site internet ;
- C'est cosmétique, mais les manches et la capuche sont roses et non jaune/vert. Après de multiples appels et une tentative d'échange en magasin, il a fallu tenter d'échanger le produit en ligne en laissant une note écrite dans l'espoir que l'autre couleur existe - mais non apparemment. Les photos ne sont peut-être pas contractuelles, mais du jaune au rose, il y a un monde (et, sans être un concours de mode, tout le monde ne se sent pas forcément à l'aise dans du rose...).
Impossible d'obtenir une réponse satisfaisante du service client en ligne ou via téléphone (sur l'existence - ou pas - de la couleur exposée en ligne)."
Manteau de tres bonne qualité et a un prix raisonnable comparé à la concurrence.
"J'ai cette veste depuis 2 ans : elle est solide, confortable, bien conçue -à l''exception des manches : la partie intérieure qui permet l'étanchéité à l'air est très serrée ce qui rend la veste difficile à enlever rapidement- et efficace sous pluie battante. Bon rapport qualité/prix pour ma part."
Veste rapportée tout de suite car impossible de l'enfiler au niveau des manches; neoprene trop petit.
"Bonjour je viens d'acheter cette veste et au premier essayage une couture d'une manche a cassé car le.bout de la manche est trop serré, très difficile à enfiler et enlever. Je peux pas garder ce produit qui n'est pas bien coupé pour moi au niveau des manches!.
Sinon je ne sais pas s'il est performant car pas encore testé dans les conditions de mer agitée."
"Por qué no me lo compraría antes? El abrigo perfecto. Para tiempo intermedio, impermeable. Bolsillos en sitios geniales. Mi
Compra perfecta. Encantada"
Snelle levering
Zit heel goed
Finde diese Jacke super angenehm
"Angenehm zu tragen, sehr gemütlich, würde ich wieder kaufen"
Très joli look
"Super veste utilisée pour la pratique de différents sports, dont la course.
Belle, bien coupée, pratique avec les poches zippées et tenue parfaite après plusieurs lavages."
"Achetée au départ juste pour mettre par dessus ma tenue de sport et testée un peu par hasard un jour froid pour faire mon running et bien elle est parfaite ! Elle tient chaud mais évacue aussi très bien la chaleur, on n'a pas l'impression de ""cocotte minute"". Elle évacue très bien la transpiration, on pas la sensation d'être humide.
Le tissu me paraissait fragile et j'avais peur qu'il bouloche ou s'use rapidement mais elle passe à la machine toutes les semaines depuis septembre et elle n'a pas bougée.
Tellement bien que je vais de ce pas en racheter deux autres..."
"Veste légère pratique pour les joggeurs en période de froid, jolie couleurs. Veste indémodable"
très bon rapport qualité / prix? je conseille ce produit
Jolie veste dd sport de belle qualité ; taille parfaitement
"Niet kunnen testen of de jas waterdicht is vanwege mooi weer. Er komen heel veel veertjes uit de binnenvoering. Verder prima jas. Goede pasvorm, details zijn goed."
"Komen veertjes uit jack net in gebruik
Niet de bedoeling lijkt me"
"Rits na 1 jaar defect, gezien deze jas net over zijn 365 dagen was moeten afgeven ter reparatie. Er werd mij gezegd dat dit ongeveer 1 a 1,5 week ging duren. Ook zal er vermoedelijk geen waterdichte rits in worden geplaatst wat ook wel een mindere waarde heeft voor de jas. Ondertussen is het 3 weken geleden en heb ik de jas nog steeds niet terug. Heel jammer dat dit zolang moet duren…"
Mijn dochter heeft maat 36/38 dus had een m besteld en ze kwam gewoon 15 cm te kort om dicht te doen. Neem echt groter dan normaal. Hij zag er wel fantastisch uit
"De jas zit super lekker, ik heb deze jas 2 weken geleden een week op wintersport gebruikt. Hij was erg warm en ik heb er veel aan gehad. Hij is nog gloednieuw na één week intens gebruik. Als je op zoek bent naar een skijas die zijn werk erg goed doet en ook niet heel duur is, is deze ideaal. Aanrader!"
Nadeel is dat de veertjes van de binnen voering eruit komen. Je vindt ze overal maar vooral in je trui waar ze zich in haan nestelen.
Alleen jammer dat het dons door de voering komt. Hierdoor zit je onderkleding steeds onder de veren.
Ik heb eerder al dezelfde jas gekocht maar die is nu versleten en omdat ik er zo tevreden over was heb ik voor dezelfde gekozen
"Supergoede jas, winddicht, sluit goed af, waterdicht. Week mee gaan skiën en super tevreden van. Enkel jammer dat er af en toe verloren pluimpjes zijn."
praktisch
"Fijn, lichtgewicht jasje. Geeft toch voldoende warmte ook bij winters weer. Wind en waterdicht. Fijne capuchon en hoge kraag die de nek afdekt. Aanrader, zeker voor deze prijs!"
Lekker warm lekker licht ook op de fiets
alles goed gekeurd
geen
Geen
"Zit heerlijk, is erg licht en makkelijk op te vouwen."
"Goed zittend, compact en leuk uitziend sportief jasje. Weegt bijna niets en is voldoende warm.
Gemakkelijk mee te nemen."
"Gewandeld met -3 graden en geen kou.
De jas voldoet aan alle voorwaarden"
Lekker warm en licht
Lichte jas die je makkelijk kunt opvouwen in de capuchon en hij is lekker warm. Handig voor een fietsvakantie.
correspond à l'attente
"Petit gilet à capuche léger comme ce que je recherchais. Très bien. Petit bémol : en principe je choisis une taille M. Mais elle était trop grande dans ce modèle. Donc j'ai acheté une taille S, très bien sauf les manches qui sont un peu courtes. Pas trop gènant pour un vêtement de demi-saison mais dommage."
"La taille M, ma taille habituelle était trop grande, j'ai choisi un S mais les manches sont dans ce cas un peu courtes."
"Juste ce que je voulais comme petit gilet léger. Un petit bémol : manche un peu courte pour ma taille (38 : j'ai dû choisir un S car le M était trop large, trop grand.)"
Très pratique à glisser dans le sac à dos pour se couvrir après une bonne marche en campagne
Top
Il y a beaucoup de choix mais le seul problème je ne trouve pas de conseiller autrement c'est parfait .👍
Bien!
Sweat-shirt agréable à porter
Très confortable
Ik gebruik de jas nu op de fiets. Hij is heerlijk licht en geeft toch voldoende warmte zonder dat ik transpireer.
"Fit is more curvy. Has a waist and hips. Also has darts for female chest. Great length. Zippers are smooth. Most other outdoor brands are straight fit. Also has a PFA free coating.

Note: Not very warm and down fill is not full. This item is not comparable to the high end outdoor brands that cost 5x as much. Also no repair services in the US so product isn’t green overall. It is better than a 20 dollar warehouse brand down puffer. No where close to a true high end outdoor down puffer. You get what you pay for."
Best in all
Amazing product.. worth buying.. very lightweight and comfortable…
This is a brilliant product for Fall and Spring
The product is use less. It claims that it is used till -5°. But in reality it can't be used in 8°. Very disappointed with the product and service of vytila branch.
"The jacket is perfect, i only wish they had more colour options apart from a bright yellow and this one… otherwise its a great product!"
She loved it so much
Nice looking
Very good
De dames maten hebben korte mouwen.
Gedragen bij regen over een gewone jas. Ik was nat tot op mijn vel. Dus geen aanrader om droog te blijven.
"Goede prijs. Ik gebruik hem als zwangerschapsjas.
Alleen spijtig geen zak met rits.
Rits zit in begin soms strop.
Nog niet in regen getest."
Zeer goed omgang
"Origineel zit de jas in een zakje. Bij ophaling in de winkel te Maldegem was de jas los.
Zakje foetsie. Wie heeft dit zakje ??"
.
Gemakkelijk om mee te nemen wanneer je gaat wandelen ingevuld het onverwachts zou regenen
ok
Content
Zit lekker
Snelle levering zoals altijd.
Het heeft nog niet geregend met golfen 🏌️‍♀️
perfect!!
"Kan overal mee naartoe. Klein en lichtgewicht.
Zeer praktisch onder weersomstandigheden"
"Heel fijn superdun windjack, maar meer dan een paar druppels kan hij niet hebben hoor! Dus koop ‘m als windjack maar niet als regenjack."
Een heerlijk lichtgewicht jasje. Makkelijk als een klein pakketje op te vouwen en mee te nemen. Zit prima
"Prima bewegingsvrijheid bij golfen. Al veel mensen de tip gegeven om hem aan te schaffen. Of hij regen tegen houdt weet ik niet, want het heeft nog niet geregend."
top service
"prima pasvorm, goede kleur"
lekker luchtig dus makkelijk te dragen
Super fijn draagbaar jack voor moutainbike
"Leuke kleur.
Zit lekker.
Voelt warm aan onder een jas in de winter. Ook ideaal zonder jas erover in de tussenseizoenen.
Goede prijs/kwaliteit"
De jas zit als gegoten en is heerlijk warm.
"Fijne jas, warm genoeg bij temperaturen 5- 15 graden."
Warme jas en lang genoeg om mijn billen te bedekken. Maar de maat XS is te groot voor mij.
"Dit jasje valt redelijk normaal maar ietsjes kleiner dan een confectiemaat. Bij twijfel zou ik een maat groter nemen maar het hoeft niet per se. Een lekker jasje voor de koude dagen (niet te koud) maar toch bij zo'n 5 graden ook aangenaam. En mooie stof, lekker soepel. Zeker gezien de prijs een prima fietsjas!"
Zeer tevreden
Comfortabel en fijn zittend fietsjack. Bij +5 nog steeds lekker warm. Goede zakken. Een absolute aanrader!
Goed van maat. Zit heerlijk.
Fijn jack voor temperaturen tussen 5 en 15 graden. Nog niet met kouder weer gefietst. Maat zit goed en komt overeen met de maat die ik normaal gesproken draag. Jack zit soepel en sluit fijn aan.
Onder mijn dunnere winterjas aangehad tijdens het skien met koude dagen. Zat heerlijk en het belangrijkste. Ik heb het niet koud gehad.
Heerlijk zittende bodywarmer. Jammer dat er geen meer kleuren zijn. Alleen in zwart verkrijgbaar
Goed materiaal
"Bodywarmer gebruik ik heel veel bij diverse weersomstandigheden, perfect om bij veel verschillende temperaturen te gebruiken of als extra warmte bij koud weer of als het net te koud is voor alleen shirt maar te warm voor jack.

Voor alle hardlooptights, jacks en shirts (m.n. met lange mouwen) houdt ik het bij (het eigen merk) van Decathlon"
👍🏼
Handig en warm
Ik had een andere bodywarmer besteld die toch niet op voorraad bleek te zien. Toen maar deze uitgekozen en ik ben zeker positief verrast! Echt een top bodywarmer!
Ik heb de bodywarmer 2 maten geoter besteld ipv 1. Toen was hij goed. Hele fijne lichte stof maar houd goed warm.
"Deze bodywarmer is een can de beste aankopen die ik heb gedaan op het gebied van hardloopkleding. Vandaag met -2 graden hardgelopen en had voldoende aan een simpel thermo shirtje en deze bodywarmer. Op aanraden van de maatwijzer voor een XL gegaan, deze zit niet helemaal nauwsluitend, maar hierdoor kan ik makkelijk meer laagjes eronder doen. Ik ben fan en pak deze bodywarmer vaker dan mijn duurdere hardloopjasjes."
"Met een jas aan kan ik niet sporten, dat irriteert.
Maar met deze bodywarmer hou ik nu tijdens de kou mijn lichaam warm…en ik merk niet dat ik hem aan heb"
Super fijn regenjack en doet wat tie moet doen je blijft lekker droog.
"Zeer fijn regenwerend jack, heb er 1 duurloop mee gedaan met het mutsje op. Het jasje is licht en zit fijn en het mutsje blijft prima op je hoofd zit. Ik had wel het idee dat de ventilatie iets beter kan."
Redelijk goed product
Zit comfortabel
"Afgelopen week uitgebreid kunnen testen, helaas maakt het niet uit of ik het jasje nu aandoe of niet: ik ben nat tot op m'n vel. Misschien is het bedoeld voor superkorte afstanden of moet je het eerst nog behandelen?"
"Handig,compact en comfortabel regenjasje. Mooie snit."
"Het is een heerlijk Jack tegen de wind, en je zweet er niet uit vanwege de luchtstukken.
Fijn dat het de eerste regen tegenhoudt, zodat je spieren niet gelijk zo koud worden.
Pluspunt vindt ik dat het witte Jack opvalt in het donker"
Super!!!!
Ik had ergens kunnen weten dat een wit jasje zeer gewaagd was.. Na enkele gedragen te hebben kleurt het jasje oranje/geel wat het niet meer leuk maakt om te dragen. Als ik gelopen heb in de regen komt er alsnog water door.. Ik kan hier niet echt spreken van een top aankoop.
Een lekker lichte stof die voldoende wind en regen tegen gaat. Ook mooi van design
Prijs-kwaliteit is top
"Goeie en een deftige jas,soms is het binnenste niet volledig naar beneden en moet je da zelf naar beneden doen"
Prima mee geskied!
"Heerlijke ruime jas ,kan er nog lekker een extra trui onderaan trekken."
great jacket
"This jacket is great, keeps me very warm, when you zip all the way the hood just fits perfect without covering my eyes, fits so good and i can move so easily! It's great for sports or everyday.
I love the ""elasticity"" of the material that just adapts to your body instead of the opposite. Sometimes it fits on length but shoulders are tight or vice versa, this one actually fits everywhere. Love it."
I haven't used it for snowboarding yet but it's great as a casual jacket
"Very warm and comfortable, a bit thin but still keeps the heat in"
Excellent jacket. Warm and dry. Used for skiing . Excellent value. Would recommend
"Son very happy with it, water proof, comfortable, good design and really reasonably priced."
"Al twee dagen mee in de regen gefietst en kurkdroog gebleven. De jas is net zo mooi als op de foto.Toen ik bestelde stond er een waarschuwing bij van pas op dit product valt klein. Nou echt niet, hij valt groot! Toch maar gehouden voor de winter met dikke trui eronder, hij valt mooi door de schoudervulling.
Ik koop er gewoon nog één een maat kleiner voor de zomer."
Goed
"Ik heb de jas nu een maand of 2 en dat bevalt erg goed. Veel jaszakken is echt een plus. Vooral de zak in het rugpand vind ik van grote meerwaarde.
Fijne pasvorm, maat zoals ik altijd heb. Nadeel in de auto: als je een mobiel in je zak hebt. De zakken vallen precies op heup hoogte wat niet mee buigt. Maar het enige echte minpunt van de jas is dat er geen lusje in de binnenzijde zit om de jas aan de kapstok te kunnen hangen. Voor een jas waar zo uitvoerig over de details nagedacht lijkt te zijn snap ik dat dan weer niet."
Waterdichtheid nog niet kunnen testen. Een hele mooie jas die perfect zit
Waterdichte jas met goede zakken en fijn zijn de ritsen voor “lucht toevoer”
"Met opzet wel een maatje groter besteld voor meer comfort. Eindelijk een jagen in een damesjas ipv een herenjas. Zit comfortabel. Prima jas, goed prijs-kwaliteit verhouding"
Ideale jas om lange wandelingen te maken en naar de hondenschool te gaan
"Ik heb de jas nu een aantal weken en hij bevalt goed. Hij is goed waterdicht en de pasvorm is ook goed. De steekzakken zitten achter de gewone zakken en dat is wat mij betreft het enige minpunt: het zou fijner zijn als ze apart zouden zijn, iets hoger.
Maar een goede jas, voor een aantrekkelijke prijs."
"Ik gebruik hem voor de jacht, de jas is warm, waterdicht, stevig, geeft veel bewegingsvrijheid en toch een vrouwelijke pasvorm."
"I have had two ""waterproof"" coats from a much more expensive brand that have proven not to be waterproof. I have had this out in some very heavy rain and so far it has remained fully waterproof. I am a size 8, but I bought a size 6 after discovering that the trousers in a size 8 were closer to a size 12! The size 6 seems to fit fine with plenty of room still to fit thick jumpers underneath. The hood is plenty large to fully cover your head. The side pockets are a bit on the small side, and they have hand pockets behind them, but they are again very small and have no fleece lining, so do not act as hand warmer pockets. There is nothing on the inside for hanging the coat up on a peg. The hood is also not detachable; it folds up into the collar, but this makes the collar fairly bulky. The collar is a large enough circumference that you can do it all the way up over a scarf, and I would recommend wearing a ski scarf or similar if out in cold, wet or windy weather as the collar will not keep your neck warm. Overall, I am very happy with the product, as all I wanted was a waterproof beating jacket that was actually waterproof."
"Ik zocht een hardloopjas, niet te duur. Dit jasje paste en voor 15 euro wil ik het proberen. Tijdens de wedstrijd bleef mijn lichaam droog, maar foor ontbreken van een capuchon loopt het water toch op gegeven moment via de nek naar binnen. Maar goed met warm sportzweet binnen en koude regen en wind van buiten, bleef ik voldoende warm tot de eindstreep. De zak op de rug was ook practisch! Dus kortdurig droog voor een wedstrijd oid ideaal! Landurig een daagje fietsen dan ga je nat worden omdat het water via de nek naar binnen komt. Voor 15 euro mag je zeker niet klagen"
"Fijn regenjack, alleen jammer dat capuchon ontbreekt"
"Mooie regenjas , confotabzl"
Comfortable
I used this jacket for night riding in an adventure race. Comfortable and flattering fit and also works very well as a windbreaker. I love the colour. It’s great for visibility. No complaints!
"The color is more of a bright orange than Coral and material very noisy to cycle in. I'm not fond of it at all.
I would not recommend it to cycle in, material can't breath and is too noisy."
Die Teile hatten wir schon am Wochenende im Einsatz. Genau richtig 👍👍👍
Meine Frau ist begeistert !
"Passform ist gut,der Rest kann nicht bewertet werden, da die Jacke noch nicht im Einsatz war"
Sogar zum Skofahre topp
Droog en winddicht
"Zit mooi! De capuchon had van mij nog wat groter gemogen, maar verder tevreden!"
"Ik heb deze jas pas een handvol keren gebruikt, maar helaas was deze alleen bij het eerste lichte motregenbuitje waterdicht.
Vanochtend wederom natte armen gekregen terwijl de jas goed aansluit verder.

Een regenjas zou toch waterdicht moeten zijn, zonde want zo heb ik er niets aan."
Fijne regenjas
"Ik draag deze jas elke dag. Mooie design, lange taille, beschermt tegen regen tijdens ik fiets.. Ik zou andere couleur ook kopen als er meer couleurs zullen zijn ."
"Mooie lange regenjas die ik gebruik bij het wandelen. Het enige minpuntje voor mij is dat hij iets compacter zou mogen zijn om op te bergen, verder een uitstekende aankoop geweest."
Fijn model 👌
Prima
Zit meteen lekker en lekker lang tot aan je knieën. Superrrrrr.
Lekkere lange regenjas. Is echt waterdicht. Valt leuk!
